merchant_id,institution_id,merchant_name,merchant_category,city,state,country,merchant_status
MER000030,INS000005,"Sahota, Seshadri and Basu Store",Restaurant,Chandigarh,Chandigarh,India,Active
MER000031,INS000001,Srinivasan-Halder Store,Entertainment,Lucknow,Uttar Pradesh,India,Active
MER000032,INS000005,Baria-Sengupta Store,Electronics,Chandigarh,Chandigarh,India,Active
MER000033,INS000002,"Kata, Barman and Balay Store",Restaurant,Lucknow,Uttar Pradesh,India,Active
MER000034,INS000005,"Nayar, Chaudry and Kapoor Store",Restaurant,Delhi,Delhi,India,Active
MER000035,INS000002,Narasimhan-Sarraf Store,Healthcare,Jaipur,Rajasthan,India,Active
MER000036,INS000002,"Chaudhuri, Ahluwalia and Kulkarni Store",Electronics,Surat,Gujarat,India,Active
MER000037,INS000001,Jaggi Ltd Store,Healthcare,Chennai,Tamil Nadu,India,Active
MER000038,INS000004,Suri Group Store,Travel,Mumbai,Maharashtra,India,Active
MER000039,INS000003,Dixit Inc Store,Shopping,Bhopal,Madhya Pradesh,India,Active
MER000040,INS000004,"Mohanty, Lall and Ahuja Store",Entertainment,Surat,Gujarat,India,Active
MER000041,INS000003,Bassi PLC Store,Entertainment,Kolkata,West Bengal,India,Active
MER000042,INS000001,Gera PLC Store,Travel,Lucknow,Uttar Pradesh,India,Active
MER000043,INS000001,"Subramaniam, Patla and Chopra Store",Grocery,Lucknow,Uttar Pradesh,India,Active
MER000044,INS000003,Chokshi-Dar Store,Electronics,Chandigarh,Chandigarh,India,Active
MER000045,INS000001,Dixit and Sons Store,Entertainment,Mysuru,Karnataka,India,Active
MER000046,INS000001,Soni-Nayak Store,Travel,Pune,Maharashtra,India,Active
MER000047,INS000003,"Kota, Nazareth and Sundaram Store",Fuel,Bhubaneswar,Odisha,India,Active
MER000048,INS000003,"Kanda, Bhagat and Bhatia Store",Shopping,Lucknow,Uttar Pradesh,India,Active
MER000049,INS000003,Kamdar Ltd Store,Grocery,Bengaluru,Karnataka,India,Active
MER000050,INS000002,"Korpal, Grewal and Dani Store",Healthcare,Delhi,Delhi,India,Active
MER000051,INS000004,Kari Group Store,Restaurant,Jaipur,Rajasthan,India,Active
MER000052,INS000003,Viswanathan-Kulkarni Store,Fuel,Bhubaneswar,Odisha,India,Active
MER000053,INS000004,"Kant, Sarkar and Sachdev Store",Travel,Mumbai,Maharashtra,India,Active
MER000054,INS000004,Ganesan Inc Store,Restaurant,Indore,Madhya Pradesh,India,Active
MER000055,INS000005,Shere LLC Store,Fuel,Kolkata,West Bengal,India,Active
MER000056,INS000002,"Sibal, Rana and Chowdhury Store",Electronics,Kochi,Kerala,India,Active
MER000057,INS000005,Bumb Group Store,Healthcare,Ahmedabad,Gujarat,India,Active
MER000058,INS000003,Das-Lal Store,Electronics,Lucknow,Uttar Pradesh,India,Active
MER000059,INS000003,"Bhavsar, Nayak and Cherian Store",Grocery,Chennai,Tamil Nadu,India,Active
MER000060,INS000004,"Lad, Gala and Borah Store",Travel,Thane,Maharashtra,India,Active
MER000061,INS000004,Chaudry-Yogi Store,Fuel,Indore,Madhya Pradesh,India,Active
MER000062,INS000005,Narasimhan-Barman Store,Restaurant,Ahmedabad,Gujarat,India,Active
MER000063,INS000005,Menon PLC Store,Grocery,Bengaluru,Karnataka,India,Active
MER000064,INS000005,"Maharaj, Ben and Naidu Store",Grocery,Surat,Gujarat,India,Active
MER000065,INS000002,"Dhingra, Shanker and Kant Store",Fuel,Ahmedabad,Gujarat,India,Active
MER000066,INS000005,"Ramakrishnan, Vasa and Comar Store",Electronics,Chennai,Tamil Nadu,India,Active
MER000067,INS000003,"Patla, Kurian and Yadav Store",Restaurant,Mumbai,Maharashtra,India,Active
MER000068,INS000004,"Kapoor, Tank and Palla Store",Entertainment,Bengaluru,Karnataka,India,Active
MER000069,INS000005,"Patla, Kara and Mukhopadhyay Store",Travel,Surat,Gujarat,India,Active
MER000070,INS000001,Basak-Mallick Store,Shopping,Nagpur,Maharashtra,India,Active
MER000071,INS000002,"Kanda, Raja and Dayal Store",Healthcare,Chandigarh,Chandigarh,India,Inactive
MER000072,INS000005,"Raju, Chakraborty and Ravi Store",Healthcare,Patna,Bihar,India,Active
MER000073,INS000003,"Kalita, Om and Prabhu Store",Shopping,Mumbai,Maharashtra,India,Active
MER000074,INS000004,Gandhi and Sons Store,Healthcare,Mysuru,Karnataka,India,Active
MER000075,INS000004,"Sura, Palla and Master Store",Healthcare,Bhubaneswar,Odisha,India,Inactive
MER000076,INS000005,"Lalla, Bhardwaj and Kari Store",Restaurant,Jaipur,Rajasthan,India,Active
MER000077,INS000003,"Badal, Chhabra and Loyal Store",Entertainment,Nagpur,Maharashtra,India,Active
MER000078,INS000004,Sangha Group Store,Travel,Kolkata,West Bengal,India,Inactive
MER000079,INS000004,Palla Inc Store,Electronics,Bhopal,Madhya Pradesh,India,Active
MER000080,INS000005,Badal-Bhatt Store,Fuel,Hyderabad,Telangana,India,Active
MER000081,INS000001,Vig Inc Store,Entertainment,Hyderabad,Telangana,India,Active
MER000082,INS000002,Ganesh-Dua Store,Shopping,Nagpur,Maharashtra,India,Active
MER000083,INS000004,Sunder Inc Store,Entertainment,Kolkata,West Bengal,India,Inactive
MER000084,INS000001,Chahal-Majumdar Store,Electronics,Kochi,Kerala,India,Active
MER000085,INS000002,Koshy Group Store,Shopping,Chennai,Tamil Nadu,India,Active
MER000086,INS000003,"Soman, Khatri and Mann Store",Fuel,Thane,Maharashtra,India,Active
MER000087,INS000004,"Dyal, Tiwari and Nori Store",Entertainment,Delhi,Delhi,India,Active
MER000088,INS000002,"Gour, Halder and Anand Store",Grocery,Jaipur,Rajasthan,India,Active
MER000089,INS000005,Dass-Thakkar Store,Grocery,Bhopal,Madhya Pradesh,India,Active
MER000090,INS000001,"Sekhon, Raval and Sagar Store",Fuel,Surat,Gujarat,India,Active
MER000091,INS000002,"Pingle, Karan and Handa Store",Grocery,Pune,Maharashtra,India,Active
MER000092,INS000001,"Kara, Uppal and Patla Store",Travel,Pune,Maharashtra,India,Active
MER000093,INS000002,"Khanna, Mukhopadhyay and Bhagat Store",Fuel,Hyderabad,Telangana,India,Active
MER000094,INS000003,"Murty, Jayaraman and Pingle Store",Restaurant,Chandigarh,Chandigarh,India,Active
MER000095,INS000003,"Dasgupta, Balasubramanian and Bahl Store",Grocery,Surat,Gujarat,India,Active
MER000096,INS000002,Manne LLC Store,Fuel,Jaipur,Rajasthan,India,Active
MER000097,INS000001,"Salvi, Apte and Ravi Store",Electronics,Bhopal,Madhya Pradesh,India,Active
MER000098,INS000002,Thaman PLC Store,Electronics,Chandigarh,Chandigarh,India,Active
MER000099,INS000004,Dhar Inc Store,Healthcare,Lucknow,Uttar Pradesh,India,Active
MER000100,INS000002,"Bal, Saha and Hari Store",Healthcare,Thane,Maharashtra,India,Active
MER000101,INS000004,Singhal-Kara Store,Restaurant,Thane,Maharashtra,India,Active
MER000102,INS000005,"De, Patla and Nigam Store",Grocery,Patna,Bihar,India,Active
MER000103,INS000001,Rout-Muni Store,Electronics,Bhubaneswar,Odisha,India,Active
MER000104,INS000005,Munshi Inc Store,Fuel,Thane,Maharashtra,India,Active
MER000105,INS000003,Lata-Mangat Store,Entertainment,Ahmedabad,Gujarat,India,Active
MER000106,INS000005,Bal PLC Store,Restaurant,Lucknow,Uttar Pradesh,India,Active
MER000107,INS000003,Rai-Date Store,Travel,Bhubaneswar,Odisha,India,Inactive
MER000108,INS000002,Upadhyay-Bhardwaj Store,Electronics,Pune,Maharashtra,India,Active
MER000109,INS000003,"Choudhry, Bir and Narain Store",Shopping,Patna,Bihar,India,Inactive
MER000110,INS000004,Natarajan LLC Store,Healthcare,Pune,Maharashtra,India,Active
MER000111,INS000003,"Divan, Kapur and Ravi Store",Travel,Bengaluru,Karnataka,India,Active
MER000112,INS000005,Yohannan-Chowdhury Store,Healthcare,Bhopal,Madhya Pradesh,India,Active
MER000113,INS000004,"Yogi, Dass and Yadav Store",Electronics,Nagpur,Maharashtra,India,Active
MER000114,INS000003,"Saran, Swaminathan and Mohanty Store",Shopping,Kochi,Kerala,India,Active
MER000115,INS000003,Trivedi-Tailor Store,Shopping,Jaipur,Rajasthan,India,Active
MER000116,INS000001,"Kashyap, Palla and Saran Store",Travel,Hyderabad,Telangana,India,Active
MER000117,INS000003,"Badal, Ray and Muni Store",Restaurant,Bengaluru,Karnataka,India,Active
MER000118,INS000002,Sura-Subramanian Store,Entertainment,Nagpur,Maharashtra,India,Active
MER000119,INS000004,"Bali, Nagy and Kibe Store",Grocery,Pune,Maharashtra,India,Active
MER000120,INS000005,"Kashyap, Dalal and Dey Store",Healthcare,Nagpur,Maharashtra,India,Active
MER000121,INS000004,Vala PLC Store,Travel,Kolkata,West Bengal,India,Inactive
MER000122,INS000004,Kata and Sons Store,Entertainment,Pune,Maharashtra,India,Active
MER000123,INS000004,"Mane, Barad and Seshadri Store",Entertainment,Chennai,Tamil Nadu,India,Inactive
MER000124,INS000004,Kannan PLC Store,Restaurant,Hyderabad,Telangana,India,Active
MER000125,INS000002,Tella PLC Store,Electronics,Patna,Bihar,India,Active
MER000126,INS000004,"Ramakrishnan, Thaker and Vaidya Store",Shopping,Mysuru,Karnataka,India,Active
MER000127,INS000004,Gade-Kala Store,Shopping,Lucknow,Uttar Pradesh,India,Active
MER000128,INS000004,"Kapoor, Khosla and Soman Store",Grocery,Delhi,Delhi,India,Active
MER000129,INS000002,"Guha, Vohra and Ranganathan Store",Entertainment,Surat,Gujarat,India,Active
MER000130,INS000005,Sawhney-Merchant Store,Shopping,Patna,Bihar,India,Active
MER000131,INS000003,Sant-Master Store,Fuel,Surat,Gujarat,India,Active
MER000132,INS000001,"Karan, Puri and Borde Store",Travel,Indore,Madhya Pradesh,India,Inactive
MER000133,INS000004,Nazareth and Sons Store,Grocery,Kochi,Kerala,India,Active
MER000134,INS000001,Parmer and Sons Store,Shopping,Surat,Gujarat,India,Active
MER000135,INS000004,"Deep, Gandhi and Vasa Store",Grocery,Thane,Maharashtra,India,Active
MER000136,INS000002,Chaudhari-Shan Store,Electronics,Jaipur,Rajasthan,India,Active
MER000137,INS000003,Dugal-Shukla Store,Travel,Ahmedabad,Gujarat,India,Active
MER000138,INS000001,Sheth-Sengupta Store,Shopping,Chandigarh,Chandigarh,India,Active
MER000139,INS000001,Raghavan and Sons Store,Restaurant,Kolkata,West Bengal,India,Active
MER000140,INS000002,"Dhar, Bhatia and Zacharia Store",Electronics,Nagpur,Maharashtra,India,Active
MER000141,INS000001,Kapur-Contractor Store,Travel,Pune,Maharashtra,India,Active
MER000142,INS000001,"Mohanty, Raghavan and Vora Store",Travel,Kolkata,West Bengal,India,Active
MER000143,INS000001,"Aggarwal, Padmanabhan and Nanda Store",Healthcare,Ahmedabad,Gujarat,India,Active
MER000144,INS000002,"Kala, Sampath and Arya Store",Shopping,Pune,Maharashtra,India,Inactive
MER000145,INS000001,Chaudhari PLC Store,Fuel,Delhi,Delhi,India,Active
MER000146,INS000002,Ahuja Group Store,Entertainment,Surat,Gujarat,India,Active
MER000147,INS000003,"Rai, Cheema and Mistry Store",Travel,Chennai,Tamil Nadu,India,Active
MER000148,INS000005,Goyal-Rajagopalan Store,Restaurant,Bhopal,Madhya Pradesh,India,Active
MER000149,INS000004,Bala-Dada Store,Restaurant,Bhopal,Madhya Pradesh,India,Active
MER000150,INS000001,"Prabhu, Chandra and Sarraf Store",Restaurant,Ahmedabad,Gujarat,India,Active
MER000151,INS000002,Barman and Sons Store,Shopping,Bhopal,Madhya Pradesh,India,Active
MER000152,INS000002,Yohannan-Tandon Store,Healthcare,Mysuru,Karnataka,India,Active
MER000153,INS000003,Bath-Radhakrishnan Store,Shopping,Ahmedabad,Gujarat,India,Active
MER000154,INS000005,Sawhney-Baria Store,Electronics,Mumbai,Maharashtra,India,Active
MER000155,INS000003,"Thaker, Randhawa and Rout Store",Electronics,Mysuru,Karnataka,India,Active
MER000156,INS000004,Rajan-Balakrishnan Store,Restaurant,Ahmedabad,Gujarat,India,Active
MER000157,INS000003,Bains-Nath Store,Healthcare,Bhopal,Madhya Pradesh,India,Active
MER000158,INS000004,Thaman LLC Store,Healthcare,Jaipur,Rajasthan,India,Active
MER000159,INS000005,Thaker Ltd Store,Healthcare,Ahmedabad,Gujarat,India,Active
MER000160,INS000003,Madan and Sons Store,Travel,Jaipur,Rajasthan,India,Active
MER000161,INS000002,Nigam-Nagarajan Store,Healthcare,Chandigarh,Chandigarh,India,Active
MER000162,INS000002,Chad-Bhargava Store,Entertainment,Kolkata,West Bengal,India,Active
MER000163,INS000001,"Pradhan, Narayan and Dasgupta Store",Healthcare,Patna,Bihar,India,Inactive
MER000164,INS000003,Bahl Ltd Store,Healthcare,Pune,Maharashtra,India,Active
MER000165,INS000004,Goel-Master Store,Healthcare,Bhubaneswar,Odisha,India,Active
MER000166,INS000005,"Divan, Jaggi and Krishnamurthy Store",Fuel,Indore,Madhya Pradesh,India,Active
MER000167,INS000005,Sastry LLC Store,Electronics,Mumbai,Maharashtra,India,Active
MER000168,INS000002,Mohan-Khalsa Store,Fuel,Kochi,Kerala,India,Active
MER000169,INS000001,Gopal-Borra Store,Restaurant,Kochi,Kerala,India,Active
MER000170,INS000005,"Morar, Dhar and Modi Store",Healthcare,Delhi,Delhi,India,Inactive
MER000171,INS000003,Som-Gandhi Store,Restaurant,Surat,Gujarat,India,Active
MER000172,INS000005,Chakrabarti Group Store,Restaurant,Bhopal,Madhya Pradesh,India,Active
MER000173,INS000004,Raman-Narayanan Store,Fuel,Bhubaneswar,Odisha,India,Active
MER000174,INS000001,"Bawa, Bora and Nadkarni Store",Travel,Hyderabad,Telangana,India,Active
MER000175,INS000001,"Kalla, Mittal and Doshi Store",Fuel,Bhopal,Madhya Pradesh,India,Active
MER000176,INS000001,"Jaggi, Khalsa and Basu Store",Fuel,Kolkata,West Bengal,India,Active
MER000177,INS000001,Subramanian-Mani Store,Entertainment,Ahmedabad,Gujarat,India,Inactive
MER000178,INS000004,Sankar-Soni Store,Healthcare,Indore,Madhya Pradesh,India,Active
MER000179,INS000005,"Gill, Raghavan and Lanka Store",Shopping,Chennai,Tamil Nadu,India,Active
MER000180,INS000004,Kohli-Dey Store,Restaurant,Patna,Bihar,India,Active
MER000181,INS000003,Walia and Sons Store,Restaurant,Pune,Maharashtra,India,Active
MER000182,INS000002,"Chaudhuri, Mane and Bansal Store",Electronics,Hyderabad,Telangana,India,Active
MER000183,INS000002,"Atwal, Mallick and Karan Store",Shopping,Delhi,Delhi,India,Active
MER000184,INS000003,Nair Ltd Store,Travel,Patna,Bihar,India,Active
MER000185,INS000004,Dey-Krishnamurthy Store,Healthcare,Surat,Gujarat,India,Active
MER000186,INS000004,Nayak-Sibal Store,Shopping,Patna,Bihar,India,Active
MER000187,INS000002,Devan-Butala Store,Travel,Chennai,Tamil Nadu,India,Active
MER000188,INS000003,Sood-Garg Store,Healthcare,Delhi,Delhi,India,Active
MER000189,INS000002,Nair Ltd Store,Shopping,Kochi,Kerala,India,Active
MER000190,INS000001,"Narayan, Prashad and Bhargava Store",Entertainment,Jaipur,Rajasthan,India,Active
MER000191,INS000003,"Dhar, Bora and Menon Store",Entertainment,Ahmedabad,Gujarat,India,Active
MER000192,INS000001,Parmer-Tak Store,Travel,Jaipur,Rajasthan,India,Active
MER000193,INS000005,Shankar-Mander Store,Healthcare,Lucknow,Uttar Pradesh,India,Active
MER000194,INS000003,"Sankaran, Merchant and Lanka Store",Restaurant,Kochi,Kerala,India,Active
MER000195,INS000001,"Murthy, Kurian and Barad Store",Shopping,Patna,Bihar,India,Active
MER000196,INS000004,"Bose, Mangat and Baral Store",Healthcare,Hyderabad,Telangana,India,Active
MER000197,INS000004,Ramaswamy-Badami Store,Travel,Ahmedabad,Gujarat,India,Active
MER000198,INS000002,Chopra-D’Alia Store,Restaurant,Mysuru,Karnataka,India,Active
MER000199,INS000005,"Mohan, Khosla and Bajwa Store",Entertainment,Jaipur,Rajasthan,India,Active
MER000200,INS000001,Choudhary-Keer Store,Travel,Surat,Gujarat,India,Active
MER000201,INS000005,Bala-Subramaniam Store,Restaurant,Bhubaneswar,Odisha,India,Active
MER000202,INS000003,"Ramanathan, Bhakta and Ganesan Store",Healthcare,Bengaluru,Karnataka,India,Active
MER000203,INS000003,Dube-Raval Store,Electronics,Mysuru,Karnataka,India,Active
MER000204,INS000001,Vala LLC Store,Healthcare,Ahmedabad,Gujarat,India,Active
MER000205,INS000002,Keer-Minhas Store,Restaurant,Kochi,Kerala,India,Active
MER000206,INS000003,Nath and Sons Store,Restaurant,Nagpur,Maharashtra,India,Active
MER000207,INS000002,Roy-Sampath Store,Shopping,Kochi,Kerala,India,Inactive
MER000208,INS000003,"Roy, Rau and Dugar Store",Restaurant,Bhopal,Madhya Pradesh,India,Active
MER000209,INS000005,Dutt-Manne Store,Healthcare,Pune,Maharashtra,India,Active
MER000210,INS000003,Balan-Karnik Store,Healthcare,Ahmedabad,Gujarat,India,Active
MER000211,INS000001,Barad Inc Store,Travel,Bengaluru,Karnataka,India,Active
MER000212,INS000002,Mall Ltd Store,Restaurant,Bhopal,Madhya Pradesh,India,Active
MER000213,INS000002,De Ltd Store,Shopping,Pune,Maharashtra,India,Active
MER000214,INS000001,"Sarin, Lalla and Pandey Store",Healthcare,Bhubaneswar,Odisha,India,Active
MER000215,INS000005,Narasimhan-Sampath Store,Grocery,Chandigarh,Chandigarh,India,Active
MER000216,INS000004,Patla-Chauhan Store,Healthcare,Delhi,Delhi,India,Active
MER000217,INS000002,Samra-Vasa Store,Travel,Jaipur,Rajasthan,India,Inactive
MER000218,INS000002,Srinivas and Sons Store,Restaurant,Chennai,Tamil Nadu,India,Active
MER000219,INS000005,"Prashad, Murthy and Badal Store",Healthcare,Hyderabad,Telangana,India,Active
MER000220,INS000003,"Krishnan, Reddy and Dey Store",Electronics,Kolkata,West Bengal,India,Active
MER000221,INS000002,"Pall, Pandey and Sathe Store",Shopping,Mysuru,Karnataka,India,Active
MER000222,INS000001,Sani Ltd Store,Electronics,Chandigarh,Chandigarh,India,Active
MER000223,INS000005,"Murthy, Sachdev and Bava Store",Fuel,Chandigarh,Chandigarh,India,Active
MER000224,INS000005,Sharaf-Radhakrishnan Store,Fuel,Indore,Madhya Pradesh,India,Active
MER000225,INS000001,"Srinivasan, Kaul and Sem Store",Electronics,Jaipur,Rajasthan,India,Active
MER000226,INS000005,"Tak, Peri and Sane Store",Shopping,Mumbai,Maharashtra,India,Active
MER000227,INS000005,"Sani, Thakur and Ganesh Store",Healthcare,Pune,Maharashtra,India,Active
MER000228,INS000005,Patil and Sons Store,Shopping,Nagpur,Maharashtra,India,Active
MER000229,INS000003,Mander Ltd Store,Fuel,Bhopal,Madhya Pradesh,India,Active
MER000230,INS000005,"Minhas, Nath and Lall Store",Grocery,Lucknow,Uttar Pradesh,India,Active
MER000231,INS000002,Iyengar-Ghose Store,Grocery,Bengaluru,Karnataka,India,Active
MER000232,INS000003,Chand-Pingle Store,Entertainment,Bhubaneswar,Odisha,India,Active
MER000233,INS000002,Manne and Sons Store,Shopping,Bengaluru,Karnataka,India,Inactive
MER000234,INS000002,"Mann, Wable and Ganguly Store",Grocery,Mumbai,Maharashtra,India,Active
MER000235,INS000005,"Grewal, Sarraf and Anand Store",Travel,Jaipur,Rajasthan,India,Active
MER000236,INS000005,Rout-Konda Store,Electronics,Chandigarh,Chandigarh,India,Active
MER000237,INS000005,"Gour, Viswanathan and Sastry Store",Shopping,Surat,Gujarat,India,Active
MER000238,INS000004,Bhatti-More Store,Grocery,Bhopal,Madhya Pradesh,India,Active
MER000239,INS000003,"Ramaswamy, Banik and Dhingra Store",Healthcare,Patna,Bihar,India,Active
MER000240,INS000002,Shan Inc Store,Healthcare,Kochi,Kerala,India,Active
MER000241,INS000002,Sarraf and Sons Store,Entertainment,Thane,Maharashtra,India,Active
MER000242,INS000004,"Kapoor, Parikh and Swaminathan Store",Shopping,Bhopal,Madhya Pradesh,India,Active
MER000243,INS000002,Gola-Desai Store,Fuel,Bhopal,Madhya Pradesh,India,Active
MER000244,INS000004,Loke-Cheema Store,Healthcare,Hyderabad,Telangana,India,Active
MER000245,INS000001,Ray and Sons Store,Shopping,Hyderabad,Telangana,India,Active
MER000246,INS000003,Keer-Oza Store,Healthcare,Kolkata,West Bengal,India,Active
MER000247,INS000004,Dhar-Behl Store,Shopping,Indore,Madhya Pradesh,India,Active
MER000248,INS000005,"Bhalla, Rout and Taneja Store",Restaurant,Mysuru,Karnataka,India,Inactive
MER000249,INS000005,Dalal PLC Store,Shopping,Indore,Madhya Pradesh,India,Active
MER000250,INS000001,Bajwa-Badal Store,Healthcare,Indore,Madhya Pradesh,India,Active
MER000251,INS000004,"Trivedi, Sane and Mishra Store",Travel,Jaipur,Rajasthan,India,Active
MER000252,INS000005,Jaggi-Walia Store,Entertainment,Pune,Maharashtra,India,Active
MER000253,INS000002,"Rana, Koshy and Dhar Store",Grocery,Nagpur,Maharashtra,India,Active
MER000254,INS000002,Dugar-Din Store,Shopping,Indore,Madhya Pradesh,India,Active
MER000255,INS000001,Chaudry LLC Store,Healthcare,Hyderabad,Telangana,India,Active
MER000256,INS000003,Mittal-Tank Store,Shopping,Kochi,Kerala,India,Active
MER000257,INS000004,Sharaf-Baria Store,Restaurant,Indore,Madhya Pradesh,India,Active
MER000258,INS000004,Wali-Dayal Store,Electronics,Kolkata,West Bengal,India,Active
MER000259,INS000001,"Cheema, Narayanan and Dua Store",Electronics,Patna,Bihar,India,Active
MER000260,INS000005,"Thaker, Andra and Chatterjee Store",Healthcare,Chandigarh,Chandigarh,India,Active
MER000261,INS000002,Hans LLC Store,Healthcare,Nagpur,Maharashtra,India,Active
MER000262,INS000001,"Madan, Kala and Kunda Store",Electronics,Chandigarh,Chandigarh,India,Active
MER000263,INS000002,"Dugar, Kannan and Kashyap Store",Healthcare,Chennai,Tamil Nadu,India,Active
MER000264,INS000003,Narasimhan Ltd Store,Healthcare,Chandigarh,Chandigarh,India,Active
MER000265,INS000001,"Bir, Hegde and Biswas Store",Entertainment,Nagpur,Maharashtra,India,Active
MER000266,INS000005,"Zacharia, Banik and Murthy Store",Restaurant,Surat,Gujarat,India,Active
MER000267,INS000005,"Sarraf, Parsa and Patla Store",Grocery,Indore,Madhya Pradesh,India,Active
MER000268,INS000004,Raju Inc Store,Travel,Bengaluru,Karnataka,India,Active
MER000269,INS000005,Badami Inc Store,Shopping,Chandigarh,Chandigarh,India,Active
MER000270,INS000001,Virk PLC Store,Travel,Mumbai,Maharashtra,India,Active
MER000271,INS000003,Gole-Karan Store,Healthcare,Kolkata,West Bengal,India,Active
MER000272,INS000004,Chandra-Sachdev Store,Entertainment,Kolkata,West Bengal,India,Active
MER000273,INS000005,Gaba PLC Store,Travel,Thane,Maharashtra,India,Active
MER000274,INS000003,Shankar Ltd Store,Entertainment,Jaipur,Rajasthan,India,Active
MER000275,INS000003,Srinivas-Badami Store,Fuel,Mysuru,Karnataka,India,Active
MER000276,INS000001,Misra Ltd Store,Restaurant,Kochi,Kerala,India,Active
MER000277,INS000001,"Hegde, Raja and Khatri Store",Grocery,Lucknow,Uttar Pradesh,India,Active
MER000278,INS000003,"Chaudhuri, Sunder and Halder Store",Fuel,Bhubaneswar,Odisha,India,Active
MER000279,INS000004,Kapadia Group Store,Shopping,Kolkata,West Bengal,India,Active
MER000280,INS000002,Gola Ltd Store,Shopping,Bhopal,Madhya Pradesh,India,Active
MER000281,INS000004,Mand Group Store,Grocery,Bengaluru,Karnataka,India,Active
MER000282,INS000003,Soman-Prabhu Store,Entertainment,Pune,Maharashtra,India,Active
MER000283,INS000002,Wason-Khare Store,Healthcare,Indore,Madhya Pradesh,India,Active
MER000284,INS000002,Chandra-Chowdhury Store,Travel,Nagpur,Maharashtra,India,Active
MER000285,INS000004,Rajagopal-Chaudhary Store,Grocery,Patna,Bihar,India,Active
MER000286,INS000004,Oak-Dugal Store,Shopping,Bhopal,Madhya Pradesh,India,Active
MER000287,INS000002,Menon Inc Store,Travel,Mysuru,Karnataka,India,Active
MER000288,INS000004,Chawla-Sarma Store,Travel,Jaipur,Rajasthan,India,Active
MER000289,INS000005,"Sachdev, Bhalla and Grover Store",Entertainment,Delhi,Delhi,India,Active
MER000290,INS000002,Ganguly Ltd Store,Grocery,Patna,Bihar,India,Active
MER000291,INS000003,Pillay-Bali Store,Electronics,Indore,Madhya Pradesh,India,Active
MER000292,INS000004,Barad LLC Store,Fuel,Patna,Bihar,India,Active
MER000293,INS000004,Gopal-Dixit Store,Grocery,Patna,Bihar,India,Active
MER000294,INS000002,Nayak-Chowdhury Store,Electronics,Hyderabad,Telangana,India,Active
MER000295,INS000002,Gulati-Koshy Store,Restaurant,Thane,Maharashtra,India,Active
MER000296,INS000005,Suri-Sibal Store,Fuel,Thane,Maharashtra,India,Active
MER000297,INS000004,"Bumb, Sankaran and Khanna Store",Healthcare,Jaipur,Rajasthan,India,Active
